name,url
Snowflake,https://careers.snowflake.com
JPMorgan Chase,https://careers.jpmorgan.com
Oracle,https://careers.oracle.com
IBM,https://careers.ibm.com
Cisco,https://jobs.cisco.com
Salesforce,https://careers.salesforce.com
Deloitte,https://careers.deloitte.com
Accenture,https://www.accenture.com/us-en/careers
Capital One,https://www.capitalonecareers.com
Wells Fargo,https://www.wellsfargojobs.com
Bank of America,https://careers.bankofamerica.com
Goldman Sachs,https://www.goldmansachs.com/careers
Citi,https://jobs.citi.com
American Express,https://careers.americanexpress.com
Bloomberg,https://careers.bloomberg.com
T-Mobile,https://careers.t-mobile.com
Verizon,https://www.verizon.com/about/careers
AT&T,https://www.att.jobs
Comcast,https://jobs.comcast.com
Walmart,https://careers.walmart.com
Target,https://corporate.target.com/careers
CVS Health,https://jobs.cvshealth.com
Walgreens,https://jobs.walgreens.com
UnitedHealth Group,https://careers.unitedhealthgroup.com
Anthem,https://careers.antheminc.com
Humana,https://careers.humana.com
Pfizer,https://www.pfizer.com/about/careers
Merck,https://www.merck.com/careers
Johnson & Johnson,https://www.careers.jnj.com
Eli Lilly,https://careers.lilly.com
AbbVie,https://careers.abbvie.com
Bristol Myers Squibb,https://careers.bms.com
Regeneron,https://careers.regeneron.com
Moderna,https://careers.modernatx.com
Roche,https://careers.roche.com
Novartis,https://www.novartis.com/careers
Zoom,https://careers.zoom.us
DocuSign,https://careers.docusign.com
Workday,https://careers.workday.com
ServiceNow,https://careers.servicenow.com
Adobe,https://careers.adobe.com
Intuit,https://jobs.intuit.com
Palo Alto Networks,https://jobs.paloaltonetworks.com
CrowdStrike,https://www.crowdstrike.com/careers
Fortinet,https://www.fortinet.com/corporate/careers
Cloudflare,https://www.cloudflare.com/careers
GitLab,https://about.gitlab.com/jobs/careers
Datadog,https://careers.datadoghq.com
MongoDB,https://www.mongodb.com/careers
Elastic,https://www.elastic.co/careers
Confluent,https://careers.confluent.io
Twilio,https://www.twilio.com/company/jobs
Okta,https://www.okta.com/careers
Splunk,https://www.splunk.com/en_us/careers
Palantir,https://www.palantir.com/careers
Nvidia,https://www.nvidia.com/en-us/about-nvidia/careers
Intel,https://jobs.intel.com
AMD,https://careers.amd.com
Qualcomm,https://careers.qualcomm.com
Broadcom,https://www.broadcom.com/company/careers
Texas Instruments,https://careers.ti.com
Micron,https://www.micron.com/about/careers
Applied Materials,https://careers.appliedmaterials.com
Lam Research,https://www.lamresearch.com/careers
KLA,https://careers.kla.com
Analog Devices,https://careers.analog.com
NXP Semiconductors,https://careers.nxp.com
Marvell,https://www.marvell.com/careers
Boeing,https://jobs.boeing.com
Lockheed Martin,https://www.lockheedmartinjobs.com
Raytheon Technologies,https://careers.rtx.com
Northrop Grumman,https://www.northropgrumman.com/careers
General Dynamics,https://www.gd.com/careers
General Electric,https://jobs.gecareers.com
Honeywell,https://careers.honeywell.com
3M,https://www.3m.com/3M/en_US/careers-us
Emerson,https://www.emerson.com/en-us/careers
Caterpillar,https://careers.caterpillar.com
John Deere,https://jobs.deere.com
Ford,https://corporate.ford.com/careers
General Motors,https://search-careers.gm.com
Tesla,https://www.tesla.com/careers
Rivian,https://careers.rivian.com
Lucid Motors,https://careers.lucidmotors.com
Stellantis,https://www.stellantis.com/en/careers
Toyota,https://www.toyota.com/usa/careers
Uber,https://www.uber.com/careers
Lyft,https://www.lyft.com/careers
DoorDash,https://careers.doordash.com
Instacart,https://careers.instacart.com
Airbnb,https://careers.airbnb.com
Expedia,https://careers.expediagroup.com
Booking.com,https://careers.booking.com
Marriott,https://jobs.marriott.com
Hilton,https://jobs.hilton.com
McKinsey,https://www.mckinsey.com/careers
BCG,https://careers.bcg.com
Bain,https://www.bain.com/careers
Ernst & Young,https://careers.ey.com
PwC,https://www.pwc.com/us/en/careers.html
KPMG,https://home.kpmg/us/en/home/careers.html
BlackRock,https://careers.blackrock.com
Vanguard,https://www.vanguardjobs.com
Fidelity,https://jobs.fidelity.com
State Street,https://careers.statestreet.com
BNY Mellon,https://jobs.bnymellon.com
Morgan Stanley,https://www.morganstanley.com/careers
Two Sigma,https://careers.twosigma.com
Jane Street,https://www.janestreet.com/join-jane-street
Citadel,https://www.citadel.com/careers
Hudson River Trading,https://www.hudsonrivertrading.com/careers
Jump Trading,https://www.jumptrading.com/careers
DE Shaw,https://www.deshaw.com/careers
